id_familia,bairro,regiao,bolsa_familia,bpc_loas,auxilio_gas,id_jovem,carteira_idoso
FAM00001,Chapada,Urbana,Sim,Não,Sim,Sim,Não
FAM00002,Centro,Urbana,Não,Não,Sim,Não,Não
FAM00003,Iguaçu,Urbana,Não,Não,Não,Sim,Não
FAM00004,Tindiquera,Urbana,Não,Não,Sim,Não,Não
FAM00005,Dist. Industrial Norte,Industrial,Não,Não,Não,Não,Não
FAM00006,Carvalho,Urbana,Não,Não,Sim,Não,Não
FAM00007,Zona Rural Sul,Rural,Não,Não,Não,Não,Não
FAM00008,Campina da Barra,Urbana,Sim,Não,Não,Não,Não
FAM00009,Thomaz Coelho,Urbana,Não,Não,Não,Não,Não
FAM00010,Centro,Urbana,Sim,Não,Não,Não,Não
FAM00011,Tindiquera,Urbana,Sim,Não,Sim,Não,Não
FAM00012,Boqueirão,Urbana,Não,Não,Não,Não,Não
FAM00013,Centro,Urbana,Não,Não,Não,Não,Não
FAM00014,Costeira,Urbana,Não,Não,Não,Não,Não
FAM00015,Chapada,Urbana,Não,Não,Não,Não,Não
FAM00016,Passaúna,Urbana,Não,Não,Sim,Não,Não
FAM00017,Tindiquera,Urbana,Não,Não,Não,Não,Não
FAM00018,Estação,Urbana,Não,Não,Não,Não,Não
FAM00019,Dist. Industrial Sul,Industrial,Sim,Não,Não,Não,Sim
FAM00020,Centro,Urbana,Não,Não,Sim,Não,Não
FAM00021,Dist. Industrial Sul,Industrial,Não,Não,Sim,Não,Não
FAM00022,Dist. Industrial Norte,Industrial,Não,Não,Não,Não,Não
FAM00023,Fazenda Velha,Urbana,Sim,Não,Não,Não,Não
FAM00024,Costeira,Urbana,Sim,Sim,Sim,Não,Não
FAM00025,Zona Rural Leste,Rural,Não,Não,Não,Não,Não
FAM00026,Fazenda Velha,Urbana,Sim,Não,Não,Não,Não
FAM00027,Campina da Barra,Urbana,Não,Não,Não,Não,Não
FAM00028,Campina da Barra,Urbana,Não,Não,Sim,Não,Não
FAM00029,Zona Rural Norte,Rural,Não,Não,Não,Não,Não
FAM00030,Estação,Urbana,Não,Não,Sim,Não,Não
FAM00031,Dist. Industrial Sul,Industrial,Não,Não,Não,Sim,Não
FAM00032,Dist. Industrial Norte,Industrial,Sim,Não,Não,Não,Não
FAM00033,Passaúna,Urbana,Não,Não,Sim,Não,Não
FAM00034,Zona Rural Leste,Rural,Não,Não,Não,Não,Não
