id_familia,bairro,regiao,localizacao,especie,calcamento,mat_piso,mat_parede
FAM00001,Chapada,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cimento,Alvenaria sem Revestimento
FAM00002,Centro,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00003,Iguaçu,Urbana,Urbana,Particular Permanente,Calçamento Total,Cimento,Alvenaria com Revestimento
FAM00004,Tindiquera,Urbana,Urbana,Particular Permanente,Calçamento Total,Carpete,Alvenaria com Revestimento
FAM00005,Dist. Industrial Norte,Industrial,Urbana,Particular Permanente,Calçamento Total,Madeira Aproveitada,Alvenaria sem Revestimento
FAM00006,Carvalho,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00007,Zona Rural Sul,Rural,Rural,Particular Improvisado,Sem Calçamento,Cimento,Alvenaria com Revestimento
FAM00008,Campina da Barra,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cimento,Madeira Aparelhada
FAM00009,Thomaz Coelho,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00010,Centro,Urbana,Urbana,Particular Improvisado,Sem Calçamento,Madeira Aproveitada,Alvenaria com Revestimento
FAM00011,Tindiquera,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cimento,Alvenaria com Revestimento
FAM00012,Boqueirão,Urbana,Urbana,Particular Permanente,Calçamento Total,Terra,Madeira Aparelhada
FAM00013,Centro,Urbana,Urbana,Particular Improvisado,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00014,Costeira,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00015,Chapada,Urbana,Urbana,Particular Permanente,Calçamento Total,Terra,Alvenaria sem Revestimento
FAM00016,Passaúna,Urbana,Urbana,Particular Improvisado,Sem Calçamento,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00017,Tindiquera,Urbana,Rural,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00018,Estação,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00019,Dist. Industrial Sul,Industrial,Urbana,Particular Permanente,Sem Calçamento,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00020,Centro,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00021,Dist. Industrial Sul,Industrial,Urbana,Particular Permanente,Calçamento Total,Cimento,Alvenaria com Revestimento
FAM00022,Dist. Industrial Norte,Industrial,Urbana,Particular Permanente,Sem Calçamento,Cerâmica/Lajota/Pedra,Madeira Aproveitada
FAM00023,Fazenda Velha,Urbana,Rural,Particular Permanente,Calçamento Parcial,Cimento,Alvenaria com Revestimento
FAM00024,Costeira,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00025,Zona Rural Leste,Rural,Rural,Particular Improvisado,Calçamento Parcial,Cimento,Madeira Aproveitada
FAM00026,Fazenda Velha,Urbana,Urbana,Particular Improvisado,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00027,Campina da Barra,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00028,Campina da Barra,Urbana,Urbana,Particular Permanente,Calçamento Total,Carpete,Alvenaria com Revestimento
FAM00029,Zona Rural Norte,Rural,Rural,Particular Permanente,Sem Calçamento,Cimento,Alvenaria com Revestimento
FAM00030,Estação,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cimento,Alvenaria com Revestimento
FAM00031,Dist. Industrial Sul,Industrial,Urbana,Particular Permanente,Sem Calçamento,Cimento,Madeira Aparelhada
FAM00032,Dist. Industrial Norte,Industrial,Urbana,Particular Permanente,Calçamento Total,Carpete,Alvenaria sem Revestimento
FAM00033,Passaúna,Urbana,Urbana,Particular Improvisado,Calçamento Total,Madeira Aproveitada,Alvenaria com Revestimento
FAM00034,Zona Rural Leste,Rural,Rural,Particular Permanente,Calçamento Total,Cimento,Alvenaria sem Revestimento
FAM00035,Fazenda Velha,Urbana,Urbana,Particular Improvisado,Calçamento Total,Cimento,Alvenaria com Revestimento
FAM00036,São Luís,Urbana,Urbana,Particular Permanente,Calçamento Total,Terra,Alvenaria com Revestimento
FAM00037,Zona Rural Norte,Rural,Rural,Particular Permanente,Calçamento Total,Madeira Aproveitada,Madeira Aproveitada
FAM00038,Chapada,Urbana,Urbana,Particular Permanente,Calçamento Total,Madeira Aproveitada,Alvenaria sem Revestimento
