id_familia,bairro,regiao,qtd_pessoas,renda_per_capita,faixa_renda_pc,renda_familiar,faixa_renda_fam,unipessoal,cadastro_atualizado,data_atualizacao,lat,lng
FAM00001,Chapada,Urbana,4,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2025-06-30,-25.608153,-49.423432
FAM00002,Centro,Urbana,1,232.69,Baixa Renda,232.69,Até 1 SM,Sim,Não,2023-09-21,-25.58934,-49.415157
FAM00003,Iguaçu,Urbana,3,728.41,Acima de 2 SM,2185.23,1 a 2 SM,Não,Sim,2024-10-04,-25.589345,-49.399496
FAM00004,Tindiquera,Urbana,2,313.67,Baixa Renda,627.34,Até 1 SM,Não,Não,2023-09-11,-25.577919,-49.435627
FAM00005,Dist. Industrial Norte,Industrial,2,734.74,Acima de 2 SM,1469.48,Até 1 SM,Não,Sim,2025-05-12,-25.545954,-49.372471
FAM00006,Carvalho,Urbana,1,222.31,Baixa Renda,222.31,Até 1 SM,Sim,Não,2023-06-30,-25.556884,-49.440656
FAM00007,Zona Rural Sul,Rural,3,469.38,Acima de 2 SM,1408.14,Até 1 SM,Não,Não,2023-02-27,-25.638617,-49.418285
FAM00008,Campina da Barra,Urbana,3,10.23,Pobreza,30.69,Até 1 SM,Não,Não,2023-11-12,-25.574679,-49.400755
FAM00009,Thomaz Coelho,Urbana,3,87.56,Pobreza,262.68,Até 1 SM,Não,Não,2023-03-12,-25.628823,-49.428491
FAM00010,Centro,Urbana,2,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2025-07-22,-25.591515,-49.41473
FAM00011,Tindiquera,Urbana,6,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2025-01-03,-25.568421,-49.42299
FAM00012,Boqueirão,Urbana,1,722.93,Acima de 2 SM,722.93,Até 1 SM,Sim,Não,2022-09-24,-25.629082,-49.386157
FAM00013,Centro,Urbana,2,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2024-03-01,-25.60171,-49.423782
FAM00014,Costeira,Urbana,3,687.14,Acima de 2 SM,2061.42,1 a 2 SM,Não,Não,2023-11-02,-25.621447,-49.392693
FAM00015,Chapada,Urbana,1,852.2,Acima de 2 SM,852.2,Até 1 SM,Sim,Sim,2025-08-15,-25.59733,-49.445932
FAM00016,Passaúna,Urbana,6,257.64,Baixa Renda,1545.84,1 a 2 SM,Não,Sim,2026-01-20,-25.525891,-49.416602
FAM00017,Tindiquera,Urbana,7,581.82,Acima de 2 SM,4072.74,2 a 3 SM,Não,Não,2022-08-11,-25.570379,-49.421658
